Incident.day	Incident.month	Incident.year	Victim.injury	State	Location	Latitude	Longitude	Shark.common.name	Shark.length.m	Provoked.unprovoked	No.sharks	Victim.activity	Injury.location	Injury.severity	Victim.gender	Victim.age	Time.of.incident
28	7	1855	fatal	QLD	hammond island	-10.56666667	142.2	tiger shark		unprovoked	1	swimming	torso	major lacerations	male		
11	11	1855	fatal	NSW	"millers point, sydney harbour"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	leg	major lacerations	male		
5	2	1856	injured	VIC	"port phillip bay, point henry"	-38.13333333	144.4166667	white shark		unprovoked	1	swimming	"thigh, foot"	major lacerations	male	18	2100
22	5	1856	injured	SA	"port elliot, horseshoe bay"	-35.53333333	138.6833333	wobbegong		unprovoked	1				male		
14	3	1858	fatal	VIC	"hobson's bay, port phillip bay"	-37.85	144.9	white shark		unprovoked	1	swimming	calf	major lacerations	male	22	1500
1	1	1860	injured	SA	encounter bay	-35.56666667	138.6	white shark		unprovoked		swimming	arm	major lacerations	male		
13	1	1861	injured	QLD	"cleveland, moreton bay"	-27.51666667	153.2666667	wobbegong		unprovoked	1	swimming	"arm, hand"	minor lacerations	male		
10	2	1862	injured	VIC	"huttons wharf, port phillip bay"	-37.85	144.9	white shark		unprovoked	1	swimming	leg	abrasion	male		
1	12	1862	fatal	QLD	"brisbane river, brisbane"	-27.36666667	153.15	bull shark		unprovoked	1	swimming	other: body not recovered		male		
10	1	1863	fatal	NSW	manning river	-31.88333333	151.4666667	bull shark		unprovoked	1	swimming	thigh	major lacerations	male	17	
1	1	1863	fatal	QLD	"moreton bay, victoria point"	-27.58333333	153.3166667	tiger shark		provoked	1	swimming	other: body not recovered		male		
5	3	1863	injured	VIC	"brighton bay, melbourne"	-37.9	144.9833333	white shark		unprovoked	1	swimming	"torso, leg"	major lacerations	male		2000
12	4	1863	fatal	QLD	caloundra heads	-26.8	153.1333333	tiger shark		unprovoked	2		other: body not recovered		male		
23	11	1865	fatal	VIC	"williamstown, phillip bay, melbourne"	-37.86666667	144.8666667	white shark		unprovoked		swimming	thigh	major lacerations	male	33	
1	1	1868	injured	QLD	yeppoon	-23.08333333	150.7333333	tiger shark		unprovoked	1	swimming	leg	major lacerations	male		
17	1	1869	injured	QLD	"brisbane river, milton reach"	-27.46666667	153	bull shark		unprovoked	1	swimming	leg	other: teeth marks	male		
17	3	1869	injured	SA	"cape elizabeth, port hughes"	-34.13333333	137.45	broadnose sevengill shark	2.2	provoked	1	fishing	foot	minor lacerations	male		
9	1	1870	injured	QLD	"brisbane river, north quay"	-27.46666667	153.0166667	bull shark		unprovoked	1	swimming	thigh	major lacerations	male	17	
19	5	1870	injured	QLD	moreton island	-27.08333333	153.4	whaler shark		provoked	1	spearfishing	leg	minor lacerations	male	13	
1	1	1872	injured	QLD	"wide bay, near fraser island"	-25.8	153.0166667			unprovoked	1	swimming			male		
12	2	1873	uninjured	SA	semaphore beach	-34.83333333	138.4666667	white shark		unprovoked	1	unmotorised boating	other: uninjured		male		
9	1	1874	injured	NSW	"darling harbour, sydney harbour"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	"calf, foot"	major lacerations	male		
21	11	1874	injured	QLD	"mary river, maryborough"	-25.5	152.7166667	bull shark	3.0	unprovoked	1	swimming	thigh	other: teeth marks	male		
19	11	1874	injured	NSW	"redhead beach, newcastle"	-33	151.7166667	wobbegong	2.0	provoked	1	swimming	foot	minor lacerations	male		1900
9	7	1875	injured	NSW	"yamba, clarence river"	-29.41666667	153.3333333	tiger shark		unprovoked	1	swimming		major lacerations	male		
1	10	1875	fatal	QLD	torres strait islands	-10.25	142.1166667	tiger shark		provoked	1	snorkelling	leg	major lacerations	male		
1	11	1875	injured	NSW	"yamba, clarence river heads, lluka beach"	-29.4	153.3333333	white shark		provoked	1	swimming	foot	major lacerations	male		
26	12	1875	injured	NSW	"yamba, clarence river, grafton"	-29.4	153.3333333	bull shark		unprovoked	1	swimming	leg	minor lacerations	male		
1	1	1876	injured	WA	port walcott & de grey river	-20.7	117.25	bull shark		provoked		snorkelling	thigh	major lacerations	male	36	
30	1	1876	injured	VIC	st kilda beach	-37.86666667	144.9666667	white shark		unprovoked	1	swimming			male		
1	2	1876	fatal	QLD	torres strait islands	-10.25	142.1166667	tiger shark		provoked	1	snorkelling	torso	major lacerations	male		
6	2	1876	fatal	VIC	albert park pier	-37.85	144.95	white shark	4.0	unprovoked	1	swimming	"leg, pelvic region"	major lacerations	male	18	0600
6	7	1876	uninjured	NSW	"dawse point battery, sydney harbour"	-33.85	151.2	whaler shark	4.3	provoked	1	diving	other: uninjured		male		
1	12	1876	injured	NSW	"paterson river, newcastle"	-32.76666667	151.7	bull shark		unprovoked	1	swimming	leg	major lacerations	male		
28	1	1877	fatal	VIC	"emerald hill, melbourne"	-37.83333333	144.9333333	white shark		unprovoked	1	swimming		major lacerations	male	30	
20	1	1877	injured	VIC	port fairy	-38.38333333	142.4833333	white shark		unprovoked	1	swimming	foot	minor lacerations	female		
21	3	1877	injured	VIC	"port phillip bay, portarlington"	-38.1	144.65	white shark		unprovoked	1	swimming	"thigh, foot"	major lacerations	male		
15	12	1877	injured	NSW	"balmain, sydney harbour"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	leg	major lacerations	male	12	
1	12	1877	injured	SA	st kilda beach	-34.73333333	138.0333333		1.2	provoked	1	swimming	leg	minor lacerations	male		
1	1	1878	injured	QLD	"torres strait, saibai island"	-9.633333333	142.6833333	tiger shark		provoked	1	snorkelling		major lacerations	male		
2	3	1878	injured	VIC	hopkin's river	-38.38333333	142.5	whaler shark	3.2	unprovoked	1	swimming	torso	minor lacerations	male		
23	7	1878	injured	QLD	"inskip point, off frazer island"	-25.8	153.05	bull shark		provoked	1	fishing	calf	major lacerations	male		
14	11	1878	injured	NSW	"iron cove river, sydney harbour"	-33.85	151.15	wobbegong		unprovoked	1	swimming		minor lacerations	male		
19	6	1879	fatal	NSW	"darling harbour, sydney harbour"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	leg	major lacerations	male		
10	11	1879	injured	NSW	"yamba, clarence river heads, lluka beach"	-29.4	153.3333333	white shark		unprovoked	1	swimming	thigh	major lacerations	male	15	
1	1	1880	fatal	QLD	"cairns, fitzroy island"	-16.9	145.9833333	tiger shark		unprovoked	1	swimming	other: body not recovered		male		
4	1	1880	injured	NSW	"lake macquarie, dora creek"	-33.08333333	151.5	bull shark		unprovoked	1	swimming	foot	major lacerations	female	13	1700
7	1	1880	injured	QLD	"brisbane river, ipswich"	-27.51666667	152.9	bull shark		unprovoked	1	swimming	leg	minor lacerations	male	22	
25	11	1880	fatal	QLD	"brisbane river, kangaroo point"	-27.46666667	153.0333333	bull shark		unprovoked	1	swimming	leg	major lacerations	male	15	1700
19	1	1881	uninjured	NSW	"lake macquarie, pelican flat"	-31.06666667	152.6333333	bull shark	3.5	unprovoked	1	swimming	other: uninjured		female		
1	1	1881	injured	QLD	"hervey bay, wide bay"	-25.25	152.85	tiger shark		unprovoked	1		foot	major lacerations	female	16	
10	8	1881	injured	QLD	great barrier reef (unknown location)	-20	148.8	tiger shark		provoked	1	spearfishing	leg	minor lacerations	male		
13	11	1881	fatal	NSW	"rushcutters bay, sydney harbour"	-33.86666667	151.2333333	bull shark		unprovoked	1	swimming	other: body not recovered		male		
4	12	1881	injured	QLD	"kolan river, bunbagerg"	-24.83333333	152.1166667	bull shark		unprovoked	1	swimming	arm	major lacerations	male		
1	1	1882	injured	WA	broome (area)	-17.98333333	122.2333333	tiger shark		provoked		snorkelling			male		
15	4	1882	fatal	NSW	lake macquarie heads	-33.08333333	151.65	white shark		unprovoked	1		torso		male		
15	5	1882	injured	NSW	"miller's point, sydney harbour"	-33.85	151.2	wobbegong		unprovoked	1	swimming	calf	minor lacerations	male		
1	5	1882	fatal	WA	broome area (nintey mile beach)	-15.88333333	122	tiger shark		provoked	1	snorkelling	torso	major lacerations	male		
1	12	1882	fatal	WA	broome (area)	-17.98333333	122.2333333	tiger shark		provoked	1	snorkelling			male		
23	1	1883	fatal	NSW	"iron cove bay, sydney"	-33.85	151.15	bull shark		unprovoked	1	swimming	torso	major lacerations	male	37	
19	12	1883	fatal	NSW	"parramatta river, sydney"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	torso	major lacerations	male	21	
22	12	1883	uninjured	NSW	"store beach, quarantine, manly"	-33.8	151.2833333	bull shark	2.8	provoked	1	swimming	other: uninjured		male		
14	1	1884	fatal	SA	port pirie	-33.18333333	137.9833333	white shark		unprovoked	2	swimming	other: body not recovered		female	16	
2	10	1885	uninjured	NSW	parramatta river	-33.81666667	151.05	bull shark		unprovoked	1	swimming	other: uninjured		female		
26	11	1885	injured	WA	bunbury	-33.31666667	115.6333333	white shark		unprovoked	1	swimming	calf	major lacerations	male		
25	1	1886	uninjured	QLD	maryborough harbour	-25.53333333	152.7	bull shark		unprovoked	1	swimming	other: uninjured		male		
26	4	1886	injured	QLD	"fitzroy river, rotheway bay"	-23.38333333	150.6333333	bull shark		unprovoked	1	swimming	"arm, hand"	minor lacerations	male		
23	2	1887	uninjured	NSW	"manly wharf, sydney"	-33.8	151.2833333	whaler shark		unprovoked		unmotorised boating	other: uninjured		male		1700
4	12	1887	fatal	NSW	"ryde, sydney harbour"	-33.81666667	151.0833333	bull shark	4.0	unprovoked	1	swimming	"torso, leg, pelvic region"	major lacerations	male	25	1130
11	9	1888	injured	QLD	cooktown (gbr)	-19.85	145.4	tiger shark		provoked		snorkelling			male		
9	12	1888	fatal	NSW	"iron cove bridge, sydney"	-33.85	151.15	bull shark		unprovoked	1	swimming	torso	major lacerations	male	11	
1	7	1889	fatal	VIC	port phillip bay heads	-38.33333333	144.6166667	white shark		unprovoked	1	swimming	other: body not recovered		male		
1	1	1890	injured	TAS	"derwent, bridgewater"	-42.73333333	147.2333333	broadnose sevengill shark	3.0	unprovoked	1	swimming	thigh	major lacerations	male		
8	4	1891	uninjured	NSW	tathra wharf	-36.71666667	149.9833333	wobbegong		provoked	1	diving	other: uninjured		male		
17	6	1891	injured	VIC	point danger of torquay	-38.33333333	144.3166667	wobbegong	2.1	provoked	1	snorkelling	arm	minor lacerations	male		
1	1	1892	fatal	QLD	"torres strait, badu island"	-10.11666667	142.1333333	tiger shark		provoked	1	diving	torso	major lacerations	male		
22	3	1892	injured	QLD	"rockhampton, fitzroy river"	-23.36666667	150.5	bull shark		unprovoked	1	swimming	calf	other: teeth marks	male		
6	11	1892	injured	QLD	"moreton bay, wellington point"	-27.45	153.2166667	whaler shark		unprovoked	1	swimming	leg	other: teeth marks	female		
1	12	1892	injured	QLD	brisbane river	-27.43333333	153.0833333	bull shark		unprovoked	1	swimming	leg	abrasion	male		
7	1	1893	uninjured	WA	geraldton	-28.76666667	114.6	wobbegong		provoked	1	fishing	other: uninjured		male		
25	1	1893	fatal	QLD	claremont isles national park	-13.93333333	143.7333333	tiger shark		unprovoked	1	swimming	other: body not recovered		male		
14	4	1893	injured	QLD	"torres strait, cap island"	-9.816666667	142.7	tiger shark		unprovoked	1	swimming	leg	minor lacerations	male		
28	11	1894	injured	NSW	newcastle beach	-32.91666667	151.7833333	white shark	2.0	unprovoked	1	swimming	arm	major lacerations	male		0740
1	1	1895	uninjured	QLD	brisbane river	-27.46666667	153	bull shark		unprovoked	1	unmotorised boating	other: uninjured		male	25	
27	2	1895	fatal	NSW	"leichhardt, sydney harbour"	-33.93333333	151.25	bull shark	3.5	unprovoked	1	swimming	leg	major lacerations	male	16	1600
15	3	1895	injured	QLD	"burnett river, sharon"	-24.9	152.2333333	bull shark		unprovoked	1	swimming	foot	major lacerations	male	13	
1	6	1895	fatal	WA	barrow island	-20.78333333	115.5333333	tiger shark		provoked	4	diving	other: body not recovered		male		
16	11	1895	fatal	NSW	"jervis bay, cape st george lighthouse"	-35.13333333	150.75	whaler shark		provoked	3	swimming	other: body not recovered		male		
15	12	1895	uninjured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked	1	diving	other: uninjured		male		
8	12	1895	fatal	NSW	"iron cove bridge, sydney"	-33.85	151.15	bull shark	4.0	unprovoked	1	swimming	torso	major lacerations	male	14	
11	1	1896	fatal	NSW	"pyrmont baths, sydney"	-33.86666667	151.1833333	bull shark		unprovoked	1	swimming	torso	major lacerations	male	11	
1	11	1896	fatal	WA	esperance	-33.85	121.8833333	white shark		unprovoked	1	swimming	leg		male		
6	1	1897	injured	NSW	"macleay river, kempsey"	-31.06666667	152.8333333	bull shark	1.8	unprovoked	1	swimming	thigh	minor lacerations	male	12	
1	12	1897	injured	QLD	"torres strait, mabuiag island "	-9.95	142.1833333	tiger shark		unprovoked	1	swimming	torso	major lacerations	male		
22	9	1898	injured	NSW	"port stephens, nelson's bay"	-32.71666667	152.1166667	bull shark		provoked	1	fishing	foot	minor lacerations	male		
20	12	1898	injured	QLD	"moreton bay, wellington point"	-27.46666667	153.2166667	whaler shark	1.2	provoked	1	fishing	thigh	minor lacerations	male		
7	2	1899	injured	NSW	"sugar loaf bay, sydney harbour"	-33.78333333	151.2166667	bull shark		unprovoked	1	swimming	thigh	minor lacerations	male		
18	12	1899	injured	QLD	"moreton bay, tingalpa creek, near wynnum"	-27.55	153.1833333	bull shark		unprovoked	1	swimming	leg	minor lacerations	male		
28	1	1900	injured	NSW	"iron cove bridge, sydney"	-33.85	151.15	bull shark		unprovoked	1	swimming	thigh	major lacerations	male		1200
1	1	1900	injured	NT	melville island	-11.6	130.95	tiger shark		unprovoked		swimming	arm	major lacerations	male		
15	9	1900	injured	QLD	townsville harbour	-19.25	146.8166667	tiger shark		unprovoked	1	swimming	calf	major lacerations	male		2100
10	11	1900	fatal	QLD	torres strait (unknown location)	-10.55	142.3833333			provoked		snorkelling			male		
27	12	1900	fatal	NSW	"middle harbour, folly point, sydney harbour"	-33.78333333	151.2333333	bull shark		unprovoked	1	swimming	leg	major lacerations	male	21	
1	1	1901	injured	NT	melville island	-11.6	130.95	tiger shark		unprovoked		swimming	leg	major lacerations	male		
22	1	1901	fatal	QLD	"brisbane river, rowing club"	-27.46666667	153	bull shark		unprovoked	1	swimming	thigh	major lacerations	male	13	
1	2	1901	injured	QLD	barron river mouth	-16.85	145.75	wobbegong		provoked	1	swimming	head	minor lacerations	male		
23	4	1901	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked		snorkelling	"torso, shoulder"	major lacerations	male		
25	4	1901	injured	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		provoked		snorkelling	torso	major lacerations	male		
1	12	1901	injured	QLD	"brisbane river, south brisbane cemetery"	-27.46666667	153	bull shark	2.0	unprovoked	1	swimming	"torso, leg, pelvic region"	major lacerations	male		1335
19	1	1902	injured	QLD	"brisbane river, highgate hill"	-27.48333333	153	bull shark		unprovoked	1	swimming	leg	major lacerations	male	16	1200
4	1	1902	injured	QLD	"moreton bay, wynnum south"	-27.43333333	153.1666667	whaler shark		provoked	1	swimming	torso	abrasion	male		
10	1	1903	fatal	NSW	"lane cove river, sydney"	-33.81666667	151.15	bull shark	3.0	unprovoked	1	swimming	leg	major lacerations	male	20	1700
1	2	1903	uninjured	NSW	"middle lagoon, tanja"	-36.63333333	150	bull shark	1.8	provoked	1	fishing	other: uninjured		male		
15	3	1903	fatal	QLD	logan river	-27.7	153.2833333	bull shark		unprovoked	1	swimming	leg	major lacerations	male		
6	5	1903	uninjured	NSW	kiama	-34.66666667	150.85	whaler shark	3.0	provoked	1	diving	other: uninjured		male		
27	3	1904	injured	QLD	"brisbane river, pinkenba"	-27.41666667	153.1166667	bull shark		unprovoked	1	swimming	torso	minor lacerations	male		
30	3	1905	injured	NSW	lismore - wilsons river	-28.8	153.2666667	bull shark		unprovoked	1	swimming	leg	minor lacerations	male		
2	12	1905	fatal	QLD	"badu island, torres strait"	-10.2	142.15	tiger shark		provoked	1	snorkelling	thigh	major lacerations	male		
28	1	1906	fatal	NSW	georges river	-33.98333333	151.0666667	bull shark	2.0	unprovoked	1	swimming	leg	major lacerations	male	33	1410
14	4	1906	fatal	QLD	lizard island	-14.66666667	145.45	tiger shark		unprovoked	1	swimming	arm	major lacerations	male		
24	8	1906	fatal	QLD	"torres strait, mabuiag island "	-9.95	142.1666667	tiger shark		provoked	1	snorkelling	"arm, shoulder, torso"	major lacerations	male		
17	12	1906	uninjured	NSW	batemans bay	-35.7	150.1833333	wobbegong		unprovoked	1	motorised boating	other: uninjured		male		
3	2	1907	fatal	QLD	"townsville, ross creek"	-19.25	146.8166667	bull shark	3.2	unprovoked	1	swimming		major lacerations	male		
4	8	1907	injured	WA	"geraldton, murray island - off geraldton"	-28.85	113.9	tiger shark		provoked	1	snorkelling	leg	major lacerations	male		
13	10	1907	injured	NSW	"merewether beach, newcastle"	-32.93333333	151.75	white shark	1.8	unprovoked	1	swimming	"torso, shoulder"	major lacerations	male	26	1000
21	12	1907	fatal	NSW	"middle harbour, sugarloaf bay, sydney"	-33.78333333	151.2333333	bull shark		unprovoked	1	swimming	torso	major lacerations	male		
1	1	1909	injured	NSW	"brisbane waters, woy woy"	-33.48333333	151.3	bull shark		unprovoked		swimming			male		
26	1	1910	fatal	NSW	newcastle harbour	-32.9	151.7666667	bull shark		unprovoked	1	swimming	leg	major lacerations	male	16	
17	2	1910	injured	WA	bunbury 	-33.31666667	115.6166667	white shark	1.8	unprovoked	1	swimming	"shoulder, torso, leg"	major lacerations	male		
31	3	1910	uninjured	WA	cape leeuwin	-34.36666667	115.1166667			unprovoked	1	swimming	other: uninjured		male		
24	11	1910	injured	QLD	mackay (9 miles away)	-21.16666667	149.2333333		3.0	unprovoked	1	swimming	foot	minor lacerations	male		
6	2	1911	uninjured	WA	legendre island	-20.38333333	116.8666667	tiger shark		unprovoked	1	swimming	other: uninjured		male		
27	3	1911	fatal	QLD	"thursday island, torre strait"	-10.56666667	142.2166667	tiger shark		unprovoked	1	swimming	"torso, thigh"	major lacerations	male	16	
25	10	1911	injured	QLD	cooktown (gbr)	-15.48333333	145.4	tiger shark		provoked	1	snorkelling	leg	major lacerations	male	23	
6	1	1912	injured	NSW	sydney (near)	-33.83333333	151.1666667	dusky shark		unprovoked	1	swimming	"leg, pelvic region"	major lacerations	male		
26	1	1912	fatal	NSW	"lane cove river, figtree, sydney"	-33.81666667	151.15	bull shark	3.0	unprovoked	1	swimming	thigh	major lacerations	male		
1	1	1912	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		unprovoked	1	swimming	leg	major lacerations	male		
16	2	1912	uninjured	WA	bunbury harbour	-33.31666667	115.6333333	wobbegong		provoked	1	diving	other: uninjured		male		
9	2	1912	injured	SA	carpenters rocks	-37.58333333	140.3333333	white shark	2.4	provoked	1	fishing	"arm, hand"	major lacerations	male		
19	2	1912	injured	NSW	"coogee beach, sydney"	-33.91666667	151.25	white shark		unprovoked	1	swimming	"calf, foot"	major lacerations	male		1600
5	11	1912	injured	QLD	"moreton bay, sandgate, scroncliffe pier"	-27.31666667	153.05	tiger shark	2.7	unprovoked	1	swimming	leg	major lacerations	male	35	1750
24	3	1913	injured	QLD	"torres strait, thursday/york island"	-10.56666667	142.2166667	tiger shark		provoked	1	snorkelling	head	minor lacerations	male		
2	5	1913	injured	NSW	"yamba, clarence river"	-29.4	153.3333333	bull shark		provoked	1	fishing	leg	minor lacerations	male		
1	6	1913	injured	QLD	"badu island, torres strait"	-10.2	142.15			provoked	1	swimming	head	major lacerations	male		
21	11	1913	injured	QLD	"moreton bay, sandgate, scroncliffe pier"	-27.31666667	153.05	tiger shark	2.5	unprovoked	1	swimming	leg	major lacerations	male	13	
29	12	1913	injured	SA	port noarlunga	-35.05	138.45	white shark		unprovoked	1	swimming	leg	minor lacerations	male		2030
20	1	1914	uninjured	NSW	"five dock bay, drummoyne"	-33.85	151.15	bull shark		unprovoked	1	unmotorised boating	other: uninjured		male		1800
11	1	1914	injured	QLD	"moreton bay, sandgate beach"	-27.31666667	153.05	wobbegong	1.7	unprovoked	1	swimming	leg	minor lacerations	female		1000
1	2	1914	injured	NSW	"parramatta river, sydney harbour"	-33.83333333	151.0666667	bull shark		unprovoked	1	unmotorised boating	torso	abrasion	male	23	
4	2	1914	injured	SA	"marion bay, yorke peninsula"	-35.23333333	136.9666667	wobbegong		provoked	1	spearfishing	foot	minor lacerations	male		
15	4	1914	injured	NSW	"maclean river, lawrence"	-29.43333333	153.1833333	bull shark		provoked	1	fishing	foot	minor lacerations	male		
10	6	1914	fatal	VIC	"port phillip bay, sandringham beach"	-37.95	145	white shark		unprovoked	1	swimming	other: body not recovered		male		
2	12	1914	injured	QLD	"magnetic island, picnic bay wharf"	-19.16666667	146.8333333			unprovoked	1	swimming	thigh	minor lacerations	male		
6	12	1914	injured	WA	"cottesloe beach, perth"	-31.98333333	115.7333333	wobbegong	0.8	provoked	1		calf	minor lacerations	male		
1	1	1915	fatal	NSW	"sirius cove, sydney harbour"	-33.83333333	151.2333333	bull shark		unprovoked	1	swimming	thigh	major lacerations	male		
6	2	1915	injured	QLD	moreton bay	-27.26666667	153.2166667	wobbegong		unprovoked	1	unmotorised boating	foot	minor lacerations	male		
8	11	1915	injured	NSW	"manly, north steyne, sydney"	-33.78333333	151.2833333	whaler shark		unprovoked	1	swimming	"leg, foot"	major lacerations	male		
10	11	1915	injured	QLD	"moreton bay, cabbage tree creek"	-27.31666667	153.0666667	bull shark		unprovoked	1	swimming	"arm, torso"	minor lacerations	male	8	
24	2	1916	uninjured	TAS	burnie	-41.05	145.75	wobbegong	1.5	provoked	1	diving	other: uninjured		male		
19	3	1916	injured	NSW	curl curl beach	-33.76666667	151.2833333	white shark		unprovoked	1	swimming	leg	minor lacerations	male		
10	11	1916	fatal	QLD	"townsville, kissing point"	-19.23333333	146.8	tiger shark		unprovoked	1	swimming			male	27	
9	11	1916	fatal	QLD	"townsville, strand beach"	-19.23333333	146.8166667	tiger shark		unprovoked	1	swimming	leg	major lacerations	male		1800
1	11	1916	injured	WA	condon creek - port headland (area)	-20	119.3666667	tiger shark	3.7	provoked	1	snorkelling	leg	major lacerations	male		
2	11	1916	fatal	WA	condon creek - broome (area)	-20	119.3333333	tiger shark	3.7	provoked	1	snorkelling	leg	major lacerations	male		
8	12	1916	fatal	NSW	"sugarloaf point, sydney harbour,"	-33.78333333	151.2166667	bull shark		unprovoked	1	other: standing in water	"arm, torso"	major lacerations	male	41	
30	12	1916	fatal	QLD	yeppoon (mens beach)	-23.11666667	150.75	tiger shark	3.0	unprovoked	1	swimming	calf	major lacerations	male	26	
14	6	1917	injured	QLD	moreton bay	-27.23333333	153.2166667	whaler shark		provoked	1	fishing	leg	minor lacerations	male		
15	12	1917	injured	WA	port headland	-20.3	118.5833333	tiger shark		unprovoked	1	swimming	thigh	major lacerations	male		
15	1	1918	injured	NSW	"port stephens, tea gardens"	-32.66666667	152.15	wobbegong		provoked	1	fishing	"arm, hand"	major lacerations	male		
22	3	1918	injured	NSW	newcastle beach	-32.91666667	151.7833333	white shark		unprovoked		swimming	"arm, hand"	major lacerations	male		1715
17	3	1918	injured	QLD	"kirra beach, coolangatta"	-28.15	153.5166667	wobbegong		provoked	1	swimming	foot	minor lacerations	male		
17	3	1918	injured	NSW	tweed heads	-28.15	153.1	tiger shark		unprovoked	1	swimming	leg	major lacerations	male		
5	4	1918	uninjured	NSW	burmagui	-26.41666667	150.0666667	wobbegong		provoked	1	diving	other: uninjured		male		
9	4	1918	uninjured	NSW	"parramatta river, sydney harbour"	-33.86666667	151.2	bull shark		unprovoked	1	swimming	other: uninjured		male	28	0900
19	9	1918	fatal	QLD	"townsville, strand beach"	-19.25	146.8166667	tiger shark	2.2	unprovoked	1	swimming	leg	major lacerations	male		
21	11	1918	fatal	QLD	arlington reef (gbr)	-16.7	146.05	tiger shark		provoked	1	snorkelling	torso	major lacerations	male		1500
17	1	1919	injured	NSW	newcastle beach	-32.91666667	151.7833333	white shark	3.7	unprovoked	1	swimming	"hand, torso, calf"	major lacerations	male	19	
9	1	1919	fatal	NSW	"sirius cove, sydney harbour"	-33.83333333	151.2333333	bull shark	3.5	unprovoked	1	swimming	thigh	major lacerations	male	13	0730
5	1	1919	fatal	QLD	"townsville, ross creek"	-19.45	146.6	bull shark		unprovoked	1	swimming	leg	major lacerations	male	38	
